alpha,cl,cd
-6.0,-0.4205,0.01126
-5.5,-0.3593,0.01061
-5.0,-0.2997,0.00995
-4.5,-0.2432,0.0094
-4.0,-0.1895,0.00888
-3.5,-0.1361,0.00842
-3.0,-0.0825,0.008
-2.5,-0.0287,0.00763
-2.0,0.0249,0.00725
-1.5,0.0777,0.00683
-1.0,0.1297,0.00645
-0.5,0.1812,0.00619
-0.0,0.2318,0.00603
0.5,0.2818,0.00604
1.0,0.3375,0.00622
1.5,0.4057,0.00649
2.0,0.4836,0.00678
2.5,0.564,0.00707
3.0,0.6126,0.00729
3.5,0.6604,0.00756
4.0,0.7083,0.00787
4.5,0.7563,0.00821
5.0,0.8042,0.0086
5.5,0.8516,0.00912
6.0,0.8982,0.00981
6.5,0.9438,0.01064
7.0,0.9882,0.01163
7.5,1.032,0.01267
8.0,1.0753,0.01373
8.5,1.118,0.01479
9.0,1.1606,0.01579
9.5,1.201,0.01689
10.0,1.2378,0.01814
10.5,1.2728,0.01934
11.0,1.3007,0.02069
11.5,1.3244,0.02238
12.0,1.3465,0.02429
12.5,1.3692,0.02628
13.0,1.3765,0.02963
13.5,1.3941,0.03248
14.0,1.4063,0.03604
14.5,1.4124,0.04051
15.0,1.4052,0.04667
15.5,1.4095,0.05204
16.0,1.408,0.05839
