alpha,cl,cd
-8.0,-0.6951,0.01091
-7.75,-0.664,0.01063
-7.5,-0.6356,0.0104
-7.25,-0.6081,0.00998
-7.0,-0.5816,0.00971
-6.75,-0.5555,0.0095
-6.5,-0.5293,0.00932
-6.25,-0.503,0.00917
-6.0,-0.4775,0.00889
-5.75,-0.4511,0.00874
-5.5,-0.4243,0.00863
-5.25,-0.3979,0.00848
-5.0,-0.3712,0.00834
-4.75,-0.3441,0.00827
-4.5,-0.3172,0.00817
-4.25,-0.29,0.00808
-4.0,-0.2626,0.00806
-3.75,-0.2354,0.00795
-3.5,-0.2078,0.00793
-3.25,-0.1804,0.00785
-3.0,-0.1528,0.00783
-2.75,-0.1252,0.00778
-2.5,-0.0975,0.00774
-2.25,-0.0697,0.00771
-2.0,-0.0419,0.00767
-1.75,-0.0141,0.00762
-1.5,0.0137,0.00756
-1.25,0.0414,0.00749
-1.0,0.069,0.00739
-0.75,0.096,0.0072
-0.5,0.1208,0.00664
-0.25,0.1459,0.00619
0.0,0.1719,0.00594
0.25,0.1986,0.00575
0.5,0.2253,0.00565
0.75,0.2522,0.00556
1.0,0.2792,0.00554
1.25,0.3063,0.00551
1.5,0.3331,0.00554
1.75,0.36,0.00555
2.0,0.3863,0.00562
2.25,0.412,0.00568
2.5,0.4389,0.00576
2.75,0.4672,0.00586
3.0,0.4975,0.00594
3.25,0.5262,0.00606
3.5,0.5588,0.00614
3.75,0.5922,0.00626
4.0,0.6263,0.00636
4.25,0.66,0.00649
4.5,0.693,0.0066
4.75,0.7248,0.00673
5.0,0.7589,0.00685
5.25,0.7929,0.00699
5.5,0.8267,0.00712
5.75,0.8599,0.0073
6.0,0.8931,0.00743
6.25,0.926,0.00761
6.5,0.9521,0.00781
6.75,0.9754,0.00796
7.0,0.9983,0.00815
7.25,1.0209,0.00838
7.5,1.0439,0.00859
7.75,1.0666,0.00883
8.0,1.0892,0.0091
8.25,1.1116,0.00941
8.5,1.1339,0.00974
8.75,1.156,0.0101
9.0,1.178,0.0105
9.25,1.2002,0.01092
9.5,1.2223,0.01137
9.75,1.2444,0.01183
10.0,1.2667,0.01228
10.25,1.289,0.01273
10.5,1.311,0.01319
10.75,1.3326,0.01368
11.0,1.3545,0.01412
11.25,1.3762,0.01457
11.5,1.397,0.01507
11.75,1.4183,0.01551
12.0,1.438,0.01605
12.25,1.4582,0.01652
12.5,1.4773,0.01705
12.75,1.4942,0.01768
13.0,1.5127,0.01816
13.25,1.5271,0.01873
13.5,1.539,0.01942
13.75,1.55,0.02021
14.0,1.5635,0.02088
14.25,1.5751,0.02171
14.5,1.5848,0.0227
14.75,1.5922,0.02394
15.0,1.5985,0.02534
15.25,1.6078,0.02662
15.5,1.6153,0.02814
15.75,1.6212,0.02992
16.0,1.6248,0.03202
16.25,1.6265,0.03449
16.5,1.6251,0.03743
16.75,1.6197,0.041
17.0,1.6101,0.04528
17.25,1.6055,0.04898
17.5,1.5984,0.05306
17.75,1.5881,0.0576
18.0,1.576,0.06242
